product_num,product_category,product_name,product_price,product_rom,product_ram,product_color,produc_url,img_url,brand,product_new,product_overview
783,Xiaomi ,REDMI 10A ,2.050.000 đ ,2GB,32GB,Xanh Dương,https://galaxydidong.vn/san-pham/xiaomi-redmi-10a-ram-2-g-32gb/,https://galaxydidong.vn/wp-content/uploads/2022/09/xiaom-redmi-10a-1-1020x570-1.webp,galaxydidong,,
784,Xiaomi ,REDMI 10A ,2.050.000 đ ,2GB,32GB,Đen,https://galaxydidong.vn/san-pham/xiaomi-redmi-10a-ram-2-g-32gb/,https://galaxydidong.vn/wp-content/uploads/2022/09/xiaomi-redmi-10a-thumb-600x600-galaxydidong.webp,galaxydidong,,
785,iPhone ,12 Pro ,14.150.000 đ ,,512GB,Trắng,https://galaxydidong.vn/san-pham/iphone-12-pro-512gb-cu/,https://galaxydidong.vn/wp-content/uploads/2020/11/thumb_IP12Pro_4.webp,galaxydidong,99%,
786,iPhone ,12 Pro ,14.150.000 đ ,,512GB,Vàng,https://galaxydidong.vn/san-pham/iphone-12-pro-512gb-cu/,https://galaxydidong.vn/wp-content/uploads/2020/11/5f85ee1ffd1f49001964d56c.webp,galaxydidong,99%,
787,iPhone ,12 Pro ,14.150.000 đ ,,512GB,Xanh,https://galaxydidong.vn/san-pham/iphone-12-pro-512gb-cu/,https://galaxydidong.vn/wp-content/uploads/2020/11/thumb_IP12Pro_3-1.webp,galaxydidong,99%,
788,iPhone ,12,9.250.000 đ ,,64GB,Đen,https://galaxydidong.vn/san-pham/iphone-12-ban-64gb-cu/,https://galaxydidong.vn/wp-content/uploads/2020/10/9965_1_iphone_12_mini_64gb_red.webp,galaxydidong,99%,
789,iPhone ,12,8.850.000 đ ,,64GB,Đỏ,https://galaxydidong.vn/san-pham/iphone-12-ban-64gb-cu/,https://galaxydidong.vn/wp-content/uploads/2020/10/iphone-12-mini-blue-600jpg-600x600.webp,galaxydidong,99%,
790,iPhone ,12,9.250.000 đ ,,64GB,Trắng,https://galaxydidong.vn/san-pham/iphone-12-ban-64gb-cu/,https://galaxydidong.vn/wp-content/uploads/2020/10/iphone-12-mini-green-select-2020-600x600.webp,galaxydidong,99%,
791,iPhone ,12,9.350.000 đ ,,64GB,Xanh Đậm,https://galaxydidong.vn/san-pham/iphone-12-ban-64gb-cu/,https://galaxydidong.vn/wp-content/uploads/2020/10/iphone-12-select-2020_731ed780b13942a6bdb9b29bcb566bc7_grande.webp,galaxydidong,99%,
792,iPhone ,12,9.350.000 đ ,,64GB,Xanh Nhạt,https://galaxydidong.vn/san-pham/iphone-12-ban-64gb-cu/,https://galaxydidong.vn/wp-content/uploads/2020/10/600x600_iphone_12_mini_black.webp,galaxydidong,99%,
