product_num,product_category,product_name,product_price,product_rom,product_ram,product_color,produc_url,img_url,brand,product_new,product_overview
907,iPhone ,13 Pro Max ,18.650.000 đ ,,128GB,Vàng,https://galaxydidong.vn/san-pham/iphone-13-pro-max-128gb-quoc-te-cu-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/ip12_1280x720-800-resize.webp,galaxydidong,99%,
908,iPhone ,13 Pro Max ,19.850.000 đ ,,256GB,Xanh lá,https://galaxydidong.vn/san-pham/iphone-13-pro-max-256gb-quoc-te-cu-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/video-mo-hop-iphone13.webp,galaxydidong,99%,
909,iPhone ,13 Pro Max ,18.750.000 đ ,,256GB,,https://galaxydidong.vn/san-pham/iphone-13-pro-max-256gb-quoc-te-cu-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/sieu-pham-mua-thu-2021-iphone-13-pro-max-co-tinh-nang-noi-bat-nao-10.webp,galaxydidong,99%,
910,iPhone ,13 Pro Max ,19.750.000 đ ,,256GB,Đen,https://galaxydidong.vn/san-pham/iphone-13-pro-max-256gb-quoc-te-cu-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/ngam-mau-iphone-13-pro-voi-man-hinh-120hz-dep-long-lanh-1.webp,galaxydidong,99%,
911,iPhone ,13 Pro Max ,19.850.000 đ ,,256GB,Trắng,https://galaxydidong.vn/san-pham/iphone-13-pro-max-256gb-quoc-te-cu-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/images3079320_1926_cthc.webp,galaxydidong,99%,
912,iPhone ,13 Pro Max ,19.850.000 đ ,,256GB,Vàng,https://galaxydidong.vn/san-pham/iphone-13-pro-max-256gb-quoc-te-cu-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/ip12_1280x720-800-resize.webp,galaxydidong,99%,
913,iPhone ,13,20.450.000 đ ,,256GB,Xanh lá,https://galaxydidong.vn/san-pham/iphone-13-256gb-quoc-te-moi/,https://galaxydidong.vn/wp-content/uploads/2021/10/render-iPhone-13-1.webp,galaxydidong,,
914,iPhone ,13,20.450.000 đ ,,256GB,Đen,https://galaxydidong.vn/san-pham/iphone-13-256gb-quoc-te-moi/,https://galaxydidong.vn/wp-content/uploads/2021/10/maxresdefault-8866-1632966768.webp,galaxydidong,,
915,iPhone ,13,20.350.000 đ ,,256GB,Đỏ,https://galaxydidong.vn/san-pham/iphone-13-256gb-quoc-te-moi/,https://galaxydidong.vn/wp-content/uploads/2021/10/iphone-13-starlight-select-2021.webp,galaxydidong,,
916,OPPO ,A57 ,3.790.000 đ,4GB,64GB,Xanh,https://www.nguyenkim.com/dien-thoai-oppo-a57-4gb-64gb-xanh.html,https://cdn.nguyenkimmall.com/images/thumbnails/600/336/detailed/844/10052642-dien-thoai-oppo-a57-4gb-64gb-xanh-1.jpg,nguyenkim,,
