,product_name,product_price,product_memory,product_color,product_url,img_url
36,iPhone 13 mini,16.990.000₫,128GB,RED,https://shopdunk.com/iphone-13-mini,https://shopdunk.com/images/thumbs/0000597_iphone-13-mini.png
37,iPhone 13 mini,16.990.000₫,128GB,Pink,https://shopdunk.com/iphone-13-mini,https://shopdunk.com/images/thumbs/0000597_iphone-13-mini.png
38,iPhone 13,16.490.000₫,128GB,Midnight,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
39,iPhone 13,16.490.000₫,128GB,Starlight,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
40,iPhone 13,16.490.000₫,128GB,Pink,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
41,iPhone 13,16.490.000₫,128GB,RED,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
42,iPhone 13,16.490.000₫,128GB,Blue,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
43,iPhone 13,16.490.000₫,128GB,Alpine Green,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
44,iPhone 11 64GB,10.390.000₫,64GB,Black,https://shopdunk.com/iphone-11,https://shopdunk.com/images/thumbs/0012164_iphone-11-64gb.webp
45,iPhone 11 64GB,10.390.000₫,64GB,White,https://shopdunk.com/iphone-11,https://shopdunk.com/images/thumbs/0012164_iphone-11-64gb.webp
46,iPhone 11 128GB,11.890.000₫,128GB,Black,https://shopdunk.com/iphone-11-128gb,https://shopdunk.com/images/thumbs/0012165_iphone-11-128gb.jpeg
47,iPhone 11 128GB,11.890.000₫,128GB,White,https://shopdunk.com/iphone-11-128gb,https://shopdunk.com/images/thumbs/0012165_iphone-11-128gb.jpeg
48,iPhone 14 Plus 512GB,25.590.000₫,512GB,Midnight,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
49,iPhone 14 Plus 512GB,25.590.000₫,512GB,Starlight,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
50,iPhone 14 Plus 512GB,25.590.000₫,512GB,RED,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
51,iPhone 14 Plus 512GB,25.590.000₫,512GB,Purple,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
52,iPhone 14 Plus 512GB,25.590.000₫,512GB,Blue,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
53,iPhone 14 Plus 512GB,25.590.000₫,512GB,Yellow,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
54,iPhone 14 512GB,26.990.000₫,512GB,Midnight,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
55,iPhone 14 512GB,26.990.000₫,512GB,Starlight,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
56,iPhone 14 512GB,26.990.000₫,512GB,RED,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
