,product_name,product_price,product_memory,product_color,product_overview,produc_url,img_url
212,Điện thoại OPPO Reno6 Pro 5G,13.990.000₫,256GB,,"  |Màn hình: AMOLED, 6.55, Full HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 50 MP & Phụ 16 MP, 13 MP, 2 MP |Camera trước: 32 MP |Chip: Snapdragon 870 5G |RAM: 12 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM, Hỗ trợ 5G |Pin, Sạc: 4500 mAh, 65 W",https://www.dienmayxanh.com/dien-thoai/oppo-reno6-pro-5g,https://cdn.tgdd.vn/Products/Images/42/236187/Slider/oppo-reno6-pro-5g-1020x570.jpg
213,Điện thoại OPPO A77s,6.290.000₫,128GB,Đen,"  |Màn hình: IPS LCD, 6.56, HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 2 MP |Camera trước: 8 MP |Chip: Snapdragon 680 |RAM: 8 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 33 W",https://www.dienmayxanh.com/dien-thoai/oppo-a77s,https://cdn.tgdd.vn/Products/Images/42/292780/Slider/oppo-a77s-thumb-1020x570.jpg
214,Điện thoại OPPO Find X5 Pro 5G,19.990.000₫,256GB,Trắng,"  |Màn hình: AMOLED, 6.7, Quad HD+ (2K+) |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 50 MP, 13 MP |Camera trước: 32 MP |Chip: Snapdragon 8 Gen 1 |RAM: 12 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM hoặc 1 Nano SIM + 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 80 W",https://www.dienmayxanh.com/dien-thoai/oppo-find-x5-pro,https://cdn.tgdd.vn/Products/Images/42/250622/Slider/Oppo-Find-x5-1020x570.jpg
215,Điện thoại OPPO Find X5 Pro 5G,19.990.000₫,256GB,Đen,"  |Màn hình: AMOLED, 6.7, Quad HD+ (2K+) |Hệ điều hành: Android 12 |Camera sau: Chính 50 MP & Phụ 50 MP, 13 MP |Camera trước: 32 MP |Chip: Snapdragon 8 Gen 1 |RAM: 12 GB |Dung lượng lưu trữ: 256GB |SIM: 2 Nano SIM hoặc 1 Nano SIM + 1 eSIM, Hỗ trợ 5G |Pin, Sạc: 5000 mAh, 80 W",https://www.dienmayxanh.com/dien-thoai/oppo-find-x5-pro,https://cdn.tgdd.vn/Products/Images/42/250622/Slider/Oppo-Find-x5-1020x570.jpg
216,Điện thoại OPPO A57 128GB,4.390.000₫,128GB,Vàng,"  |Màn hình: IPS LCD, 6.56, HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 13 MP & Phụ 2 MP |Camera trước: 8 MP |Chip: MediaTek Helio G35 |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 33 W",https://www.dienmayxanh.com/dien-thoai/oppo-a57-128gb,https://cdn.tgdd.vn/Products/Images/42/285082/Slider/oppo-a57-4g637916782091781459-1020x570.jpg
217,Điện thoại OPPO A57 64GB,4.090.000₫,64GB,Xanh ngọc,"  |Màn hình: IPS LCD, 6.56, HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 13 MP & Phụ 2 MP |Camera trước: 8 MP |Chip: MediaTek Helio G35 |RAM: 4 GB |Dung lượng lưu trữ: 64GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 33 W",https://www.dienmayxanh.com/dien-thoai/oppo-a57-4g,https://cdn.tgdd.vn/Products/Images/42/282090/Slider/OPPO-A57-4G--1--1020x570.jpg
218,Điện thoại OPPO A57 64GB,4.090.000₫,64GB,Đen,"  |Màn hình: IPS LCD, 6.56, HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 13 MP & Phụ 2 MP |Camera trước: 8 MP |Chip: MediaTek Helio G35 |RAM: 4 GB |Dung lượng lưu trữ: 64GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 33 W",https://www.dienmayxanh.com/dien-thoai/oppo-a57-4g,https://cdn.tgdd.vn/Products/Images/42/282090/Slider/OPPO-A57-4G--1--1020x570.jpg
219,Điện thoại OPPO A57 128GB,4.390.000₫,128GB,Xanh ngọc,"  |Màn hình: IPS LCD, 6.56, HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 13 MP & Phụ 2 MP |Camera trước: 8 MP |Chip: MediaTek Helio G35 |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 33 W",https://www.dienmayxanh.com/dien-thoai/oppo-a57-128gb,https://cdn.tgdd.vn/Products/Images/42/285082/Slider/oppo-a57-4g637916782091781459-1020x570.jpg
220,Điện thoại OPPO A57 128GB,4.390.000₫,128GB,Đen,"  |Màn hình: IPS LCD, 6.56, HD+ |Hệ điều hành: Android 12 |Camera sau: Chính 13 MP & Phụ 2 MP |Camera trước: 8 MP |Chip: MediaTek Helio G35 |RAM: 4 GB |Dung lượng lưu trữ: 128GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 33 W",https://www.dienmayxanh.com/dien-thoai/oppo-a57-128gb,https://cdn.tgdd.vn/Products/Images/42/285082/Slider/oppo-a57-4g637916782091781459-1020x570.jpg
221,Điện thoại OPPO A55,3.490.000₫,64GB,Xanh Dương,"  |Màn hình: IPS LCD, 6.5, HD+ |Hệ điều hành: Android 11 |Camera sau: Chính 50 MP & Phụ 2 MP, 2 MP |Camera trước: 16 MP |Chip: MediaTek Helio G35 |RAM: 4 GB |Dung lượng lưu trữ: 64GB |SIM: 2 Nano SIM, Hỗ trợ 4G |Pin, Sạc: 5000 mAh, 18 W",https://www.dienmayxanh.com/dien-thoai/oppo-a55-4g,https://cdn.tgdd.vn/Products/Images/42/249944/Slider/OPPO-A55-4G-1020x570.jpg
