product_name,product_memory,product_color,product_price,product_url,img_url
Điện thoại Samsung Galaxy S23 Plus,- Bộ nhớ: 512GB,Màu sắc: Lavender,23.190.000,https://phongvu.vn/samsung-galaxy-s23-plus--p500203,https://lh3.googleusercontent.com/SatALxMRujGkDgFrzkjdkSar2emyQDZ9wj5n6Fym8LAPsruUnmWG39Mh8D3gifkbdN1D2kJSP0SqrC-_DTyZcdlX4n27rHHmXQ=w500-rw
Điện thoại Samsung Galaxy S23 Ultra,- Bộ nhớ: 512GB,Màu sắc: Lavender,28.490.000,https://phongvu.vn/samsung-galaxy-s23-ultra--p500205,https://lh3.googleusercontent.com/lZpQJnqqr_ZUOWrDBXloQFG8K1SFt3ka5wmiwBIpEswGNmaZQPIsKuKH0OWqB8ofIb6pLrGVG6KmVB3eJM0I48s-Li-f31aL=w500-rw
Điện thoại Samsung Galaxy S23 Ultra,- Bộ nhớ: 12GB,Màu sắc: Lavender,33.990.000,https://phongvu.vn/samsung-galaxy-s23-ultra--p500205,https://lh3.googleusercontent.com/VPSqktdUW_rcGUQkhaipA-9QmE00rgC-YrI9oxGBPBr_3EMM7YHtdf1QyiwGBeJFzeFb4cXXkpesFq8hcBJqnWPQQRPFlI8=w500-rw
iPhone 14 Pro Max | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Space Black,27.790.000,https://phongvu.vn/iphone-14-pro-max--p459617,https://lh3.googleusercontent.com/mxtb704ce91o45uDdHEpkwks7xZ0zLt_URe-MwfDVK-XPf9MQxODtYcWUW2WD2RPhgdq20BmkrAWA6QgEUSz8lYTlwmb3_3s=w500-rw
iPhone 14 Plus | Chính hãng VNA,Bộ nhớ: 128GB,Màu sắc: Midnight,21.790.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/dFL2usgfUU580hhCjktI1fz2bu-luoH-gbn5Mih7Ss0RTkoGTsHMtzkmoBAJFnObBmVeLSuSF7YO0fKWO3Gq-dX_qM9kOYvT=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Midnight,18.990.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/HD6tK_lv_T2Hp6WDHzRREnZI0T-Cnx1hgDTAPuMWZBHB8di1gdeyL5KBZz34diG54BDRF0zqXQL6loA90vL4HoS0jmUYFEc=w500-rw
ASUS ROG Phone 6,- Bộ nhớ: 256GB,Màu sắc: Phantom Black,15.490.000,https://phongvu.vn/asus-rog-phone-6--p442461,https://lh3.googleusercontent.com/301o4gbjWNTE8OYVGKnzWOaPwIAozy_LwzyZ_teO08q4gzDvRfeYy85l9cWM2SGruEaaXPh0LZSnzMZNUrvUAnwuo4f8Oh8=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Midnight,21.490.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/07JyisE4lU-ESv3_07WZVtDO8RqUub-ZRP3qkXgLl0knsjYqNZHOz5WRIYcNkRuq89SsruvnrG1faFYKo544e2kaqnDffzc=w500-rw
iPhone 14 | Chính Hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Midnight,24.490.000,https://phongvu.vn/iphone-14--p459613,https://lh3.googleusercontent.com/LQPaErFVmRoSOFqYvO_1KTwhNzsqzfaYCYex9hFXDe1qIBwKFnyiYIeYJEf37eO4Euj6aZl9DyELNomT9CZ2PCopmYlJyE15=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Midnight,23.990.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/hvNRNRmNLE8kTu0_b11mBcRpR9jTwWjJf5Ro-litVeJ-1fzRSykpkOeh_7I04a8_TylJtg5p6RoZhVUh830jKMwJEZTDwDo=w500-rw
iPhone 14 Plus | Chính hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Midnight,24.990.000,https://phongvu.vn/iphone-14-plus--p459614,https://lh3.googleusercontent.com/_w490sz6ZEpkptUIqX9nb2jQJKR-p2q1SzWhmmLYMrR9yGuFIl5KJTzUXeky5aZWrS9SubUqP7KaoriEQvC-R4JnB2y0SH-fjw=w500-rw
