,product_name,product_price,product_memory,product_color,product_url,img_url
148, Xiaomi POCO M5s 4GB 64GB ,3.750.000 đ,4GB 64GB,Trắng,https://cellphones.com.vn/xiaomi-poco-m5s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/o/poco-m5s-trang-thumb-600x600.jpg"
149, Xiaomi POCO M5s 4GB 64GB ,3.750.000 đ,4GB 64GB,Xanh dương,https://cellphones.com.vn/xiaomi-poco-m5s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/o/poco-m5s-trang-thumb-600x600.jpg"
150, Xiaomi POCO M5s 4GB 64GB ,3.750.000 đ,4GB 64GB,Xám,https://cellphones.com.vn/xiaomi-poco-m5s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/o/poco-m5s-trang-thumb-600x600.jpg"
151, Xiaomi POCO M5 6GB 128GB ,4.050.000 đ,6GB 128GB,Xanh lá,https://cellphones.com.vn/xiaomi-poco-m5-6gb-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/f/v/fvssxa_3.jpg"
152, Xiaomi POCO M5 6GB 128GB ,4.050.000 đ,6GB 128GB,Đen,https://cellphones.com.vn/xiaomi-poco-m5-6gb-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/f/v/fvssxa_3.jpg"
153, Xiaomi POCO M5s 6GB 128GB ,4.690.000 đ,6GB 128GB,Vàng,https://cellphones.com.vn/xiaomi-poco-m5s-6gb-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/v/_/v_fn77_2.jpg"
154, Xiaomi POCO M5s 6GB 128GB ,4.690.000 đ,6GB 128GB,Trắng,https://cellphones.com.vn/xiaomi-poco-m5s-6gb-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/v/_/v_fn77_2.jpg"
155, Xiaomi POCO M5s 6GB 128GB ,4.690.000 đ,6GB 128GB,Xám,https://cellphones.com.vn/xiaomi-poco-m5s-6gb-128gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/v/_/v_fn77_2.jpg"
156, OPPO Reno6 Z 5G ,6.790.000 đ,128GB,Đen,https://cellphones.com.vn/oppo-reno-6z.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/o/p/oppo_reno6.jpg"
157, OPPO Reno6 Z 5G ,6.790.000 đ,128GB,Bạc,https://cellphones.com.vn/oppo-reno-6z.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/o/p/oppo_reno6.jpg"
158, OPPO Reno8 ,7.490.000 đ,256GB,Đen,https://cellphones.com.vn/oppo-reno-8.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_product_-_reno8_4g_-_gold.png"
159, OPPO Reno8 ,7.490.000 đ,256GB,Vàng,https://cellphones.com.vn/oppo-reno-8.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_product_-_reno8_4g_-_gold.png"
160, OPPO Reno7 Z (5G) ,7.000.000 đ,128GB,Bạc,https://cellphones.com.vn/oppo-reno7-z.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/c/o/combo_product_-_rainbow_spectrum_-_reno7_z.png"
