,product_name,product_memory,product_color,product_price,product_url,img_url
1,Điện thoại ASUS ROG Phone 7 16GB/512GB (Snapdragon 8 plus Gen2),512GB,Phantom Black,24.990.000đ,https://phongvu.vn/dien-thoai-asus-rog-phone-7-16gb-512gb-snapdragon-8-gen2--p513221,https://lh3.googleusercontent.com/4Xc3fZhZ9Zgm8RNvVDNJBGN6Y4jL3mpJWnkKTwV9Cj7HHW4WShNTjTeabkzGDwQNcJmy_fOnlWfpzTLQEu9qd6a2FRbUwzTNFw=w500-rw
2,Điện thoại ASUS ROG Phone 7 Ultimate 16GB/512GB (AI2205-5D034WW) (Snapdragon 8+ Gen2) (Storm White),512GB,Storm White,29.990.000đ,https://phongvu.vn/dien-thoai-asus-rog-phone-7-ultimate-16gb-512gb-ai2205-5d034ww-snapdragon-8-gen2-storm-white--s230500081,https://lh3.googleusercontent.com/rg9pP0uVTseTfV70QPZeLjrmEv6Ygo_5G7ZH7j-kSIrkaKIohxK6uhIM5DN2nEZ54lcCrC2NLpxtOg7SpfPX_UbsPMCAmCU=w500-rw
3,"Điện thoại di động Vivo V2204- Y16 (4+128GB) (Đen) (128GB, Black)",128GB,Black,4.150.000đ,https://phongvu.vn/dien-thoai-di-dong-vivo-v2204-y16-4-128gb-den-128gb-black--s230203712,https://lh3.googleusercontent.com/D3c6xeUE2G2zZMs2lE7YtKBEEr4laxwgCeMCdUSpVcL7kW-uh1Sxlzbe_vDk8Uxkdi3MtIgNb21SCbwNPaf2P8qT-Miqd-uD=w500-rw
4,Điện thoại Samsung Galaxy A14 5G 4GB/128GB,128GB,Black,4.890.000đ,https://phongvu.vn/samsung-galaxy-a14-5g-128g--p471199,https://lh3.googleusercontent.com/O60Z3funnLBpLuM6JGMcaQyTKh179nbb4tvalAdVSQOyMvKu2AcTxrCNWaimRJlIXfGh0DrgjyzP1TiCwtHp7rYRv9dQSye8iQ=w500-rw
5,Điện thoại Samsung Galaxy A04s 4GB/64GB,64GB,Green,3.190.000đ,https://phongvu.vn/samsung-galaxy-a04s-4gb-64gb--p468120,https://lh3.googleusercontent.com/RpVbhQ50NskSwRSxtHRK8uOZOMnQz2fmXseXUw4pqNGGrpisiouk3peRzANnz_WOHi5Vryv5jpFtYA-uJh5rpdcT66OmVIP_=w500-rw
6,Điện thoại Samsung Galaxy S21 FE 5G 8GB/128GB,128GB,Olive,11.790.000đ,https://phongvu.vn/samsung-galaxy-s21-fe-5g-8gb-128gb--p466801,https://lh3.googleusercontent.com/pUweUhbxNV7vV8CKDbFULAOp3RfiaOJBMlSedc75IPJ7XegFrak80Nm7j7I84XeWaKWrLhYv_nfARuCm56TCGW-vBmooOsjqMw=w500-rw
7,Điện thoại Samsung Galaxy A23 5G 4GB/128GB,128GB,Black,6.190.000đ,https://phongvu.vn/samsung-galaxy-a23-4gb-128gb--p467180,https://lh3.googleusercontent.com/JESNL14Gq9Typp1IP3SmuzHddjRsl_ETPpk5Y6XOS8lMvlLpYhsQPHIq3CTihmK10-p8KI0AWT8U4OuhRkK6ZSYGB4Aobn0=w500-rw
8,Điện thoại Samsung Galaxy A73 5G 8GB/128GB,128GB,Mint,8.490.000đ,https://phongvu.vn/samsung-galaxy-a73-5g-8gb-128gb--p466798,https://lh3.googleusercontent.com/iN6P9Hv1P7ST8cckH0P1STqtOHAKWGz0Z4fV_AXbNDpeKyBPmmynyuqtbxPDq3pb5t9IcV1LyfXapZoJA9odfUvC_RZcWe6B=w500-rw
9,Điện thoại Samsung Galaxy A33 5G 6GB/128GB,128GB,Peach,6.990.000đ,https://phongvu.vn/samsung-galaxy-a33-5g-6gb-128gb--p466797,https://lh3.googleusercontent.com/czcFdKu_mk2DT3SZDh8CjEFEXlfg3T5T-ZPesRZN58oeTbBmQ1gmBCfP4M0yIFqdq1t07K96y5Nw6F1C6zIZ8FJhprSvASoZ=w500-rw
10,Điện thoại Samsung Galaxy A73 5G 8GB/128GB,128GB,Gray,11.690.000đ,https://phongvu.vn/samsung-galaxy-a73-5g-8gb-128gb--p466798,https://lh3.googleusercontent.com/OEp9wG3DV-yHLldL3MpykJ7HhmO-1js-IB49ba-8u2-XGfRbBmDs9xuCZakdxpEWRUUVR-qievzKk5eVFdM7ttvg8Sm6X_uS=w500-rw
11,iPhone 14 Pro | Chính Hãng VNA,128GB,Space Black,24.990.000đ,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/ilPFqawQUmSYOAhP0zySjvrf4yqcIuv9ePIShwrpwcME04mY7MJuO2D8CdaDAeM6cruf_fMk14Y3gV8mdtkNhS7uzcSnKjgm=w500-rw
